"freq
References : ['S(2,1)','S(4,3)','S(6,5)']
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(4,3)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(6,5)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag"
10.90 GHz,-0.112 + j0.798 ,0.043 + j0.010 ,0.140 + j0.098 
10.95 GHz,-0.037 + j0.787 ,0.041 + j0.007 ,0.137 + j0.084 
11.00 GHz,0.034 + j0.770 ,0.038 + j0.004 ,0.133 + j0.071 
11.05 GHz,0.101 + j0.746 ,0.036 + j0.002 ,0.130 + j0.059 
11.10 GHz,0.162 + j0.717 ,0.033 + j3.874E-5 ,0.125 + j0.048 
11.15 GHz,0.219 + j0.684 ,0.031 - j0.002 ,0.121 + j0.039 
11.20 GHz,0.270 + j0.647 ,0.029 - j0.003 ,0.116 + j0.030 
11.25 GHz,0.316 + j0.606 ,0.026 - j0.004 ,0.111 + j0.022 
11.30 GHz,0.357 + j0.564 ,0.024 - j0.005 ,0.106 + j0.015 
11.35 GHz,0.392 + j0.520 ,0.022 - j0.006 ,0.101 + j0.009 
11.40 GHz,0.423 + j0.475 ,0.021 - j0.006 ,0.096 + j0.004 
11.45 GHz,0.448 + j0.430 ,0.019 - j0.007 ,0.091 - j0.001 
11.50 GHz,0.469 + j0.384 ,0.017 - j0.007 ,0.086 - j0.006 
11.55 GHz,0.487 + j0.338 ,0.016 - j0.007 ,0.082 - j0.010 
11.60 GHz,0.500 + j0.293 ,0.015 - j0.007 ,0.077 - j0.013 
11.65 GHz,0.509 + j0.249 ,0.014 - j0.007 ,0.073 - j0.016 
11.70 GHz,0.515 + j0.206 ,0.013 - j0.007 ,0.068 - j0.019 
11.75 GHz,0.518 + j0.164 ,0.012 - j0.007 ,0.064 - j0.021 
11.80 GHz,0.518 + j0.122 ,0.012 - j0.007 ,0.059 - j0.023 
11.85 GHz,0.516 + j0.083 ,0.011 - j0.007 ,0.055 - j0.025 
11.90 GHz,0.511 + j0.044 ,0.011 - j0.007 ,0.051 - j0.026 
11.95 GHz,0.503 + j0.007 ,0.011 - j0.007 ,0.048 - j0.027 
12.00 GHz,0.494 - j0.029 ,0.011 - j0.007 ,0.044 - j0.028 
